Ano,Mes,Faturamento
2018,1,1130384.9
2018,2,931184.13
2018,3,1295271.15
2018,4,1009695.63
2018,5,953436.86
2018,6,1216644.25
2018,7,1104920.73
2018,8,1240725.97
2018,9,1271502.66
2018,10,1363016.08
2018,11,1616578.74
2018,12,1290521.81
2019,1,1466808.3
2019,2,1258425.67
2019,3,1278398.88
2019,4,1518631.47
2019,5,1651992.03
2019,6,2054103.27
2019,7,1741722.38
2019,8,1661897.59
2019,9,1652591.55
2019,10,1805234.08
2019,11,1735380.14
2019,12,1470838.48
2020,1,1735218.86
2020,2,1304661.73
2020,3,1620383.82
2020,4,1329133.12
2020,5,1710247.71
2020,6,1834023.2
2020,7,2317362.75
2020,8,1769487.98
2020,9,1763744.73
2020,10,1713348.85
2020,11,1719788.46
2020,12,1449624.63
